Front,Back,Tags
"What is a <b>tritone</b>?","An interval of 3 whole steps (6 half steps); historically called ""diabolus in musica"" (the devil in music)","lesson::004 type::vocabulary topic::intervals"
"What interval spans 3 whole steps (6 half steps) and was called ""the devil in music""?","Tritone","lesson::004 type::vocabulary topic::intervals"
"What is <b>diabolus in musica</b>?","Medieval term for the tritone; it was avoided in church music due to its dissonant, unsettling sound","lesson::004 type::vocabulary topic::history"
"What was the medieval term for the tritone, meaning ""the devil in music""?","Diabolus in musica","lesson::004 type::vocabulary topic::history"
"What is <b>polyphony</b>?","Multiple independent melodic lines played simultaneously","lesson::004 type::vocabulary topic::history"
"What term describes multiple independent melodic lines played simultaneously?","Polyphony","lesson::004 type::vocabulary topic::history"
"What is <b>counterpoint</b>?","The technique of combining multiple melodic lines; prominent in Baroque music","lesson::004 type::vocabulary topic::history"
"What is the technique of combining multiple melodic lines, prominent in Baroque music?","Counterpoint","lesson::004 type::vocabulary topic::history"
"What is <b>chromaticism</b>?","Heavy use of half steps and notes outside the key; creates emotional intensity","lesson::004 type::vocabulary topic::history"
"What term describes heavy use of half steps and notes outside the key for emotional intensity?","Chromaticism","lesson::004 type::vocabulary topic::history"
"What is a <b>fortepiano</b>?","Early version of the piano, invented ~1700 by Bartolomeo Cristofori; predecessor to the modern piano","lesson::004 type::vocabulary topic::history"
"What was the early version of the piano called, invented around 1700?","Fortepiano","lesson::004 type::vocabulary topic::history"
"What are the approximate dates of the <b>Medieval</b> period?","Before ~1400","lesson::004 type::concept topic::history"
"What are the approximate dates of the <b>Renaissance</b> period?","1400–1600","lesson::004 type::concept topic::history"
"What are the approximate dates of the <b>Baroque</b> period?","1600–1750","lesson::004 type::concept topic::history"
"What are the approximate dates of the <b>Classical</b> period?","1750–1820s","lesson::004 type::concept topic::history"
"What are the approximate dates of the <b>Romantic</b> period?","1827–1900","lesson::004 type::concept topic::history"
"What characterized <b>Medieval</b> music?","Mostly vocal music; the tritone was avoided (""diabolus in musica"")","lesson::004 type::concept topic::history"
"What characterized <b>Renaissance</b> music?","More emphasis on human pleasure; birth of melody as we know it","lesson::004 type::concept topic::history"
"What characterized <b>Baroque</b> music?","Counterpoint, polyphony, ornate decoration; fortepiano invented ~1700","lesson::004 type::concept topic::history"
"What characterized <b>Classical</b> period music?","Emphasis on order and rationality; birth of the string quartet and symphony","lesson::004 type::concept topic::history"
"What characterized <b>Romantic</b> period music?","More chromaticism, more modulation, greater emotional expression and individualism","lesson::004 type::concept topic::history"
"Who invented the fortepiano and when?","Bartolomeo Cristofori, around 1700","lesson::004 type::concept topic::history"
"Which musical period featured counterpoint and polyphony prominently?","Baroque (1600–1750)","lesson::004 type::concept topic::history"
"In which period were the string quartet and symphony born?","Classical period (1750–1820s)","lesson::004 type::concept topic::history"
"Why was the tritone avoided in Medieval church music?","It was considered too dissonant (""diabolus in musica"" — the devil in music)","lesson::004 type::concept topic::history"
"Which period is characterized by heavy chromaticism and modulation?","Romantic period (1827–1900)","lesson::004 type::concept topic::history"
"Name two key composers of the Baroque period.","Bach and Handel","lesson::004 type::concept topic::history"
"When did J.S. Bach die?","1750 (marks the end of the Baroque period)","lesson::004 type::concept topic::history"
"Who are the three composers of the <b>Viennese Classical Triad</b>?","Haydn, Mozart, and Beethoven","lesson::004 type::concept topic::history"
"Which composer was nicknamed ""Papa""?","Haydn (""Papa Haydn"")","lesson::004 type::concept topic::history"
"Which Viennese Classical composer bridges the Classical and Romantic periods?","Beethoven","lesson::004 type::concept topic::history"
"Name four composers from the <b>Romantic period</b>.","Schumann, Mendelssohn, Brahms, Liszt (also Rachmaninov)","lesson::004 type::concept topic::history"
"Who was <b>Clara Schumann</b>?","A remarkable pianist who raised 8 children while being the main breadwinner and maintaining a concert career","lesson::004 type::concept topic::history"
"Who was <b>Fanny Mendelssohn</b>?","Felix Mendelssohn's sister; a brilliant composer whose work was often overshadowed","lesson::004 type::concept topic::history"
"What is Beethoven's only opera?","Fidelio","lesson::004 type::concept topic::history"
"What does ""Middle Baroque"" refer to?","The period before ~1700 within the Baroque era","lesson::004 type::concept topic::history"
"How did Italian Baroque differ from German Baroque?","They had very different styles (specific details vary by composer and region)","lesson::004 type::concept topic::history"
